C1,C2,Bounty,Strength
3s,Ah,Q,0.565625
4s,Ah,2,0.565625
6s,Qs,5,0.565625
5s,Js,2,0.565
6s,Qs,4,0.565
6s,Ah,4,0.565
7s,Js,8,0.565
9s,Js,5,0.565
Js,Kh,5,0.565
7s,Th,5,0.564375
5s,Ks,3,0.56375
5s,As,8,0.56375
8s,As,3,0.56375
3s,Ks,4,0.563125
4s,Qs,T,0.563125
5s,Qs,J,0.563125
6s,Ks,5,0.563125
8s,Js,7,0.563125
Ts,Qh,T,0.563125
4s,As,8,0.5625
6s,Qh,A,0.5625
8s,As,6,0.5625
9s,Ks,2,0.5625
Js,Qh,4,0.5625
Js,Qs,5,0.5625
6s,Qs,3,0.561875
4s,Qs,6,0.56125
5s,Jh,2,0.56125
6s,As,7,0.56125
3s,Ks,7,0.560625
9s,Kh,Q,0.560625
5s,As,9,0.56
7s,Jh,3,0.56
2s,Ah,K,0.559375
3s,Ah,8,0.559375
6s,Kh,8,0.559375
8s,Ts,5,0.559375
8s,Qs,7,0.559375
4s,Ah,8,0.55875
6s,Ts,T,0.55875
8s,Js,9,0.55875
3s,Kh,2,0.558125
7s,Js,K,0.558125
Js,Qh,K,0.558125
2s,Ah,8,0.5575
3s,3h,J,0.5575
4s,4h,7,0.5575
4s,Qs,3,0.5575
7s,Ks,3,0.5575
Js,Qh,J,0.5575
4s,Ks,2,0.556875
4s,Ks,A,0.556875
5s,Qh,9,0.556875
5s,Qs,T,0.556875
6s,Qs,K,0.556875
3s,Ks,9,0.55625
5s,Js,A,0.55625
2s,Ks,9,0.555625
3s,Kh,J,0.555625
5s,Ks,8,0.555625
8s,Ts,K,0.555625
3s,Qs,9,0.555
4s,Kh,9,0.555
4s,As,A,0.555
2s,Ah,4,0.554375
3s,3h,4,0.554375
9s,Ts,7,0.554375
9s,Jh,T,0.554375
4s,Ks,K,0.55375
6s,Ks,3,0.55375
Js,Qs,2,0.55375
5s,Kh,T,0.553125
5s,Kh,A,0.553125
6s,Qh,K,0.553125
7s,Ks,Q,0.553125
3s,Ah,2,0.5525
3s,As,7,0.5525
6s,9s,J,0.5525
6s,Qs,7,0.5525
7s,Ah,T,0.5525
8s,Kh,9,0.5525
7s,Ks,6,0.551875
5s,5h,J,0.55125
7s,9s,Q,0.55125
7s,As,3,0.55125
8s,9h,7,0.55125
Ts,Js,2,0.55125
6s,Qs,2,0.550625
7s,Ah,7,0.550625
8s,9s,7,0.550625
9s,Kh,6,0.550625
2s,Kh,A,0.55
2s,Ah,T,0.55
3s,Ah,J,0.55
6s,Ah,8,0.55
9s,Jh,J,0.55
Js,Qh,Q,0.55
Js,Kh,9,0.55
4s,Qh,T,0.549375
6s,8s,T,0.549375
8s,Jh,8,0.549375
8s,Js,J,0.549375
9s,Qs,5,0.549375
2s,Ks,7,0.54875
2s,Ah,2,0.54875
4s,As,9,0.54875
6s,Qs,Q,0.54875
8s,9h,T,0.54875
5s,Ks,J,0.548125
6s,Kh,9,0.548125
7s,Js,4,0.548125
9s,Ts,T,0.548125
2s,Ah,5,0.5475
3s,Qs,T,0.5475
4s,Ah,T,0.5475
5s,Ah,9,0.5475
7s,Js,3,0.5475
8s,Th,T,0.5475
2s,2h,4,0.546875
3s,Qs,7,0.546875
8s,Kh,7,0.546875
3s,Kh,Q,0.54625
4s,Qs,A,0.54625
8s,Js,5,0.54625
2s,2h,J,0.545625
5s,Jh,8,0.545625
7s,Ts,5,0.545625
7s,9s,K,0.545
8s,Jh,Q,0.545
8s,Qh,5,0.545
9s,Ks,9,0.545
2s,As,7,0.544375
7s,9h,3,0.544375
9s,Js,9,0.544375
Ts,Qh,A,0.544375
5s,Qs,6,0.54375
Ts,Jh,5,0.54375
Ts,Qs,6,0.54375
3s,3h,5,0.543125
7s,Ts,9,0.543125
9s,Ts,Q,0.543125
Ts,Jh,Q,0.543125
3s,Ks,A,0.5425
