C1,C2,Bounty,Strength
8s,Ah,7,0.69905
6s,As,7,0.699
6s,9s,9,0.6989
6s,As,K,0.6987
9s,Ks,2,0.6986
6s,As,2,0.69845
8s,Ah,T,0.6983
Js,Qh,T,0.6982
8s,Ah,2,0.69815
8s,Ah,J,0.69725
9s,Ks,3,0.6972
Js,Kh,6,0.6972
Ts,Kh,A,0.697
Ts,Qs,K,0.69695
8s,Ah,6,0.6968
9s,Ks,7,0.69675
Ts,Qs,8,0.69665
Ts,Kh,9,0.6965
9s,Ah,K,0.69635
2s,Qh,Q,0.6962
5s,As,8,0.696
5s,5h,K,0.69595
Ts,Qs,A,0.6956
4s,As,2,0.6952
Ts,Qs,2,0.69505
Js,Qh,8,0.6949
Js,Qs,4,0.69465
9s,Ks,8,0.69455
Ts,Kh,8,0.69445
Ts,Qs,9,0.69425
Ts,Kh,6,0.69425
5s,5h,T,0.6942
9s,Ks,4,0.6942
Ts,Qs,J,0.694
5s,As,6,0.69395
6s,8s,8,0.69385
9s,Ks,6,0.6937
6s,As,8,0.6936
5s,As,9,0.69335
4s,As,Q,0.69325
Ts,Kh,7,0.69305
5s,As,2,0.693
Js,Qs,5,0.69285
8s,Ah,4,0.6926
9s,Ks,5,0.6922
2s,Js,J,0.69195
9s,Ah,5,0.69185
5s,As,J,0.69155
Ts,Kh,2,0.6915
5s,As,7,0.69135
Ts,Qs,7,0.691
7s,Ah,3,0.69025
7s,Th,T,0.6899
6s,As,4,0.68975
5s,Jh,J,0.6896
8s,Ah,9,0.6895
Js,Qs,3,0.68915
7s,Ah,8,0.6891
7s,9h,7,0.68895
Ts,Qs,4,0.6887
4s,Ts,4,0.68835
7s,Ah,5,0.68805
Ts,Qs,6,0.6878
4s,As,6,0.6876
5s,Ts,5,0.6875
7s,Ah,6,0.6875
5s,As,T,0.6873
5s,As,Q,0.6872
7s,Ah,2,0.68705
6s,Th,T,0.68685
Js,Qh,A,0.68665
6s,As,9,0.68625
7s,Ah,T,0.6859
7s,Ah,9,0.68585
Ts,Qs,3,0.68575
3s,As,4,0.6856
7s,Ah,4,0.68515
4s,As,7,0.6851
6s,Th,6,0.685
8s,Ks,3,0.68475
8s,Ks,7,0.6847
7s,Ah,K,0.6842
8s,Ks,4,0.68355
4s,As,3,0.6835
4s,4h,2,0.683
Js,Qh,K,0.6827
3s,As,5,0.68235
Js,Qh,9,0.68235
4s,As,J,0.68225
Ts,Qs,5,0.6821
4s,4h,3,0.68185
4s,Ts,T,0.68185
7s,Ah,J,0.6815
5s,Ah,8,0.68145
8s,Ks,5,0.6814
9s,Kh,5,0.6813
Ts,Js,Q,0.68125
4s,As,8,0.681
4s,As,T,0.681
3s,As,Q,0.68085
4s,As,5,0.6807
Ts,Kh,5,0.6807
4s,Jh,J,0.68025
9s,Kh,J,0.6802
3s,As,J,0.6801
9s,Qs,4,0.67985
9s,Kh,3,0.67975
4s,As,9,0.6797
2s,As,3,0.67965
4s,As,K,0.67945
7s,Ks,A,0.67935
3s,As,2,0.67915
8s,Ks,A,0.6789
3s,As,8,0.67885
5s,Ah,6,0.67885
6s,Ah,K,0.67865
9s,Qs,T,0.67835
4s,Jh,4,0.6783
6s,7s,7,0.67815
6s,Ah,5,0.67805
Js,Qh,2,0.67765
5s,Ah,2,0.67745
5s,9s,9,0.6772
8s,Ks,Q,0.6771
9s,Kh,7,0.6767
9s,Qs,K,0.6766
3s,As,T,0.67655
6s,Ah,7,0.67655
Js,Qh,4,0.67645
6s,Ah,4,0.6764
2s,As,4,0.6763
6s,8s,6,0.6762
9s,Qs,7,0.67615
9s,Kh,A,0.67615
9s,Qs,2,0.676
3s,As,7,0.67585
Ts,Js,2,0.67565
Js,Qh,5,0.67535
Js,Qh,6,0.6753
Ts,Js,8,0.6749
3s,Jh,3,0.67485
7s,9h,9,0.6747
9s,Kh,T,0.67455
3s,Ts,T,0.6745
5s,Ah,4,0.6745
5s,9s,5,0.67445
9s,Qs,A,0.67435
8s,Ks,6,0.67405
5s,Ah,3,0.674
8s,Ks,T,0.674
Ts,Js,9,0.67355
3s,Jh,J,0.6735
9s,Qs,6,0.67345
5s,Ah,J,0.67335
7s,Ks,8,0.67325
7s,Ah,Q,0.6731
3s,As,K,0.67295
Ts,Qh,K,0.6728
Ts,Qh,J,0.67275
9s,Qs,3,0.6726
Ts,Js,A,0.6726
3s,As,9,0.67205
9s,Kh,2,0.6719
Js,Qh,3,0.6718
9s,Kh,6,0.67175
Ts,Qh,6,0.6717
Ts,Qh,A,0.67155
8s,Ks,J,0.67135
6s,Ah,3,0.6713
7s,Ks,Q,0.67085
8s,Ks,2,0.6708
6s,7s,6,0.6704
5s,Ah,7,0.6698
8s,Ks,9,0.6696
Ts,Js,K,0.6694
6s,Ah,T,0.66915
7s,8h,7,0.669
4s,4h,6,0.66895
2s,As,J,0.6689
3s,As,6,0.66885
2s,As,5,0.6687
Ts,Js,5,0.6687
Ts,Js,4,0.66865
Ts,Qh,9,0.66845
6s,Ah,8,0.6684
6s,Ah,J,0.6684
7s,Ks,5,0.66825
9s,Kh,Q,0.66815
6s,Ks,5,0.66795
4s,4h,Q,0.6677
7s,Ks,4,0.66755
Ts,Js,7,0.6675
9s,Kh,4,0.66735
5s,Ah,Q,0.66725
6s,Ah,Q,0.6671
2s,As,T,0.66705
7s,Ks,J,0.66675
5s,Ah,T,0.66645
7s,Ks,3,0.66645
6s,Ah,2,0.66605
Ts,Js,6,0.66595
4s,Ah,3,0.6658
8s,Kh,2,0.66555
6s,Ah,9,0.66515
Ts,Qh,4,0.6651
7s,Ks,9,0.66475
9s,Qs,5,0.66465
7s,Ks,6,0.6646
Ts,Qh,5,0.66445
7s,Ks,2,0.6639
8s,Qs,6,0.6639
9s,Qs,J,0.6639
4s,4h,5,0.6638
9s,Kh,8,0.6636
2s,As,9,0.6635
6s,Ks,4,0.6635
7s,Ks,T,0.66345
3s,Ts,3,0.6632
Ts,Js,3,0.6628
9s,Js,8,0.6625
Ts,Qh,7,0.66235
7s,8h,8,0.6623
2s,As,Q,0.66225
Ts,Qh,8,0.66185
2s,As,8,0.66175
Ts,Qh,3,0.66175
4s,4h,T,0.6615
2s,As,K,0.6613
4s,4h,K,0.6613
4s,Ah,5,0.6613
5s,8s,8,0.66115
4s,4h,8,0.6611
8s,Kh,9,0.66105
4s,Ah,7,0.66005
8s,Qs,2,0.65995
9s,Js,T,0.6598
2s,As,7,0.65965
4s,Ah,6,0.65955
9s,Js,A,0.6595
Js,Qh,7,0.6595
Ts,Qh,2,0.65925
2s,Jh,2,0.6592
8s,Qs,T,0.65905
4s,Ah,T,0.65855
9s,Qh,T,0.6584
5s,Ah,K,0.65835
2s,As,6,0.65795
6s,Ks,7,0.6579
3s,Ah,4,0.65765
4s,4h,9,0.6575
6s,9h,9,0.6571
5s,Ah,9,0.65705
6s,Ks,Q,0.65685
6s,Ks,A,0.65645
4s,Ah,J,0.6564
4s,Ah,2,0.65635
9s,Qs,8,0.65575
4s,4h,7,0.6556
4s,4h,A,0.65555
4s,Ah,9,0.65555
5s,Ks,9,0.65555
5s,Ks,3,0.65425
3s,Ah,Q,0.6542
5s,Ks,2,0.6539
5s,7s,7,0.6538
6s,Ks,3,0.65375
4s,Ah,8,0.6537
2s,Ts,T,0.6535
2s,Ts,2,0.6533
4s,4h,J,0.65325
2s,Ah,T,0.6532
8s,Qs,9,0.6532
6s,Ks,2,0.653
6s,8h,8,0.65255
6s,Ks,T,0.6525
8s,Kh,6,0.6524
8s,Qs,4,0.65215
5s,Ks,8,0.6518
5s,Ks,6,0.6514
6s,Ks,9,0.65135
5s,Ks,A,0.6513
8s,Kh,7,0.65125
8s,Kh,A,0.65125
8s,Qs,3,0.65105
8s,Kh,3,0.65105
3s,Ah,J,0.6509
5s,Ks,J,0.6509
8s,Kh,T,0.6509
4s,Ks,A,0.65015
Ts,Jh,9,0.65015
9s,Js,7,0.65005
4s,Ah,K,0.65
6s,9h,6,0.64975
8s,Qs,K,0.64975
2s,Jh,J,0.6494
5s,Ks,Q,0.6491
9s,Js,Q,0.649
6s,Ks,8,0.64885
9s,Qh,8,0.64865
8s,Kh,5,0.6485
5s,Ks,7,0.64805
3s,Ah,T,0.6479
5s,Th,5,0.6479
Ts,Jh,Q,0.64785
3s,Ah,9,0.64775
2s,Ah,4,0.6472
6s,Ks,J,0.64695
8s,Qs,A,0.64685
9s,Qh,K,0.64675
4s,Ah,Q,0.6467
